Figures in KES Millions 2013 2012 % Variance,Column,Column
PP&E,"6,630.2","6,865.9 -3%"
Other Non Current Assets,"8,425.8","7,470.1 13%"
Total Non Current Assets,"15,056.0","1 4,336.0 5%"
Inventories,"1,540.4","1,593.5 -3%"
Trade and Receivables,"6,843.7","5,603.7 22%"
Other Current Assets,400.2,312.6 28%
Total Current Assets,"8,784.3","7,509.9 17%"
Total Assets,"23,840.3","2 1,845.8 9%"
Loans,"3,786.7","3,179.2 19%"
Other Non Current Liabilities,928.1,751.8 23%
Total Non Current Liabilities,"4,714.8","3,931.0 20%"
Overdrafts,491.3,335.4 46%
Long term Loan - Current Portion,"1,833.4","1,398.0 31%"
Creditors and Accruals,"3,562.1","3,883.4 -8%"
Other Current Liabilities,2 0.3,229.4 -91%
Total Current Liabilities,,
Convertible Bond,"5,132.0","4,574.6 12%"
Shareholders Equity,"8,086.4","7,494.0 8%"
Total Liabilities and Shareholders Equity,"23,840.3","2 1,845.8 9%"
