Member,Attendance
"Shaka Kariuki*
Chairman",8/10
"Zephaniah Mbugua**
Non-Executive Director",4/10
"Dennis Awori***
Non-Executive Director",4/10
"Stephen Waruhiu****
Non-Executive Director",1/10
"Njiinu Nganga
Executive Director",10/10
"Wale Adeosun*****
Non-Executive Director",7/10
"Kamal Pallan******
Non-executive Director",7/10
"Ephraim Njogu*******
Non-Executive Director",7/10
"Anne Mutahi********
Non-Executive Director",4/10
"Wanjuki Muchemi*********
Non-Executive Director",4/10
"Virginia Ndunge
Company Secretary",10/10
