Domicile,"No. of
Shareholders","No. of shares
held","%
Shareholding"
Local individuals,"1,697","197,353,627",53%
Local institutions,131,"27,766,235",7%
East African individuals,5,"34,200",0%
Foreign individuals,20,"468,100",0%
Foreign institutions,9,"149,580,604",40%
TOTAL,"1,862","375,202,766",100%
