No.,Challenge,TransCentury value proposition
2.,"Weak feasibility studies and business
plans. Developers and governments often
lack the crucial capabilities and resources,
including the capacity to assess key
technical and financial risks associated with
large-scale infrastructure projects. “Private
sector players generally do not invest
sufficient time and effort in developing a
strong feasibility study,” said one public-
private partnership expert at an African
finance ministry.","TC is committed to following internationally
recognized environmental, social, and
governance standards in its operations.
Through the allocation of sufficient
resources to conduct thorough due
diligence, the investment decision is
adequately supported and documented
giving investors a reasonable basis."
3.,"Delays in obtaining licenses, approvals,
and permits. These issues may include a lack
of capacity and motivation by government
agencies to get projects off the ground; a
lack of coordination between responsible
agencies; and community resistance to
some projects.","TC leverages its close relationships with
stakeholders in the markets we operate
in to mitigate project delays. TC team
conducts stakeholder impact analyses
and uses the feedback obtained to ensure
all stakeholders requirements are met for
smooth project implementation."
4.,"Inability to agree on risk allocations. This
is a result of skill gaps in quantifying and
correctly allocating risks to their natural
owners—a challenge that persists in even
the most sophisticated public agencies
worldwide. Another common problem
is an excessive focus on risk avoidance
as opposed to risk management and
mitigation.","TC has an experienced investment team with
a track record of deal sourcing, structuring
and execution for success. Through
environmental impact assessments (EIA),
project risks are documented and risks are
allocated to their natural owners."
5.,"Poor program delivery. This is the result
of insufficient capabilities in planning
(including technical design), managing, and
execution of large projects.",
6.,"Inability to secure offtake agreements
and guarantees. A primary cause is
governments that are unable to provide
sovereign guarantees, as a result of weak
balance sheets.","TC is a permanent capital vehicle. Using
its own balance sheet and leveraging on
its strong relationships with other financial
institutions, TC is able to raise sizeable
equity cheques for project implementation."
