"3,031,286
655,379","2,798,576
386,808"
"3,686,665","3,185,384"
"(1,764,045)
(1,251,621)
(275,064)","(1,606,545)
(971,508)
(209,202)"
"(3,290,730)","(2,787,255)"
"395,935
(212,122)","398,129
(174,835)"
"183,813","223,294"
"(9,293)","6,371"
"(9,293)","6,371"
"-
-
(9,293)","-
-
6,371"
"174,520","229,665"
"174,520
-","229,665
-"
"174,520","229,665"
2.58,3.14
