"Adhesives
KShs ‘000
32,933
-",Column,"Total
KShs ‘000
5,059,029
-"
"32,933","(1,521,250)","5,059,029"
"8,565","(640,155)","3,496,913"
"Adhesives
KShs ‘000
1,032","Elimination
KShs ‘000
-","Total
KShs ‘000
261,296"
"1,681",-,"172,428"
"143,760
44,390
41
4,345","-
(559,165)
-
-","7,347,557
-
1,728
258,565"
"4,976",-,"209,726"
"(2,730)",-,"272,043"
-,-,"(140,247)"
"(2,730)",-,"131,796"
