Risk,Column,Mitigation
Strategic,,
,Regulatory Environment,"• The group ensures that its products meet
the regulatory requirements.
• The group engages regulatory authorities
to ensure compliance.
• The group actively participates with other
stakeholders in building relationships with
the regulatory authorities."
,"The group is expected to comply with
all regulatory bodies and governments’
requirements.",
,Competition,"• The group through its research and
development team is continuously
developing its products to meet the market
demands.
• The group continuously monitors the market
for the entry of new players and the threat
that they offer."
,"The paint industry has become ever more
competitive both in terms of the products
and players.",
,Economic / Political,"• The group monitors the environment
and takes measures to mitigate the risks
identified"
,"The political environment in the countries
we operate in, greatly influences the
economic performance.",
