"2016
KShs’000
7,347,557
(4,401,444)","2015
KShs’000
6,737,108
(3,956,493)"
"2,946,113
260,293","2,780,615
233,954"
"3,206,406","3,014,569"
"(1,695,616)
(906,472)
(209,726)
(122,549)","(1,684,167)
(958,172)
(155,533)
-"
"(2,934,363)","(2,797,872)"
"272,043
(140,247)","216,697
(185,949)"
"131,796","30,748"
"50,810","28,956"
"50,810","28,956"
"72,600
(21,780)","-
-"
"50,820",-
"101,630","28,956"
"233,426","59,704"
"233,426
-
233,426","59,704
-
59,704"
1.85,0.43
