"31–60
days
KShs’000",Column,"91-120
days
KShs’000",Column,">365
days
KShs’000"
,"-
(8,220)
(99,071)
(37,227)
-
-
(6,950)
(5,986)",,"-
(8,220)
-
(72,288)
-
-
(11,937)
(21,404)",
-,,-,,-
"(24,155)",,"(13,378)",,"(229,202)"
"(282,784)",,-,,-
"(199,133)",,"(49,016)",,-
-,,-,,-
-,,-,,-
"(13,174)",,"(6,058)",,"(167,700)"
"(24,905)",,(914),,-
"(544,151)","(157,454)","(69,366)","(113,849)","(396,902)"
