"2016
KShs’000
6,726,368
(4,092,158)","2015
KShs’000
6,385,224
(3,836,429)"
"2,634,210
173,463","2,548,795
213,279"
"2,807,673","2,762,074"
"(1,348,045)
(720,093)
(209,726)
(122,549)","(1,357,339)
(792,614)
(155,533)
-"
"(2,400,413)","(2,305,486)"
"407,260
(138,772)","456,588
(185,109)"
"268,488","271,479"
"-
-
-
72,600
(21,780)","-
-
-
-
-"
"50,820",-
"319,308","271,479"
3.77,3.81
