"2023
KShs’000",Column,"2023
KShs’000"
"70,811","81,460
78,581
761,418","144,787"
"38,801",,"89,508"
"397,567",,"1,018,274"
"507,179","921,459
(262,547)","1,252,569"
"(301,116)",,"(870,017)"
"206,063","658,912","382,552"
,"-
-
-
-
-
39,617",
-,,"140,594"
"114,918",,"114,918"
-,,181
-,,"1,079"
-,,"3,945"
"46,138",,"46,111"
"161,056","39,617","306,828"
,"-
-
-
-
8,605",
-,,"72,331"
-,,"45,184"
-,,"78,288"
-,,"157,181"
"4,749",,"4,749"
,"-
-
155,892",
-,,"236,914"
-,,-
"179,500",,"157,736"
,"10,066
130,069",
-,,-
"138,645",,"138,645"
