"31–60
days
KShs’000",Column,"91-120
days
KShs’000",Column,">365
days
KShs’000"
-,,-,,-
"(17,817)",,"(7,949)",,"(180,236)"
"(36,818)",,"(45,833)",,"(485,111)"
"(253,882)",,-,,-
"(263,185)",,"(46,892)",,-
-,,-,,-
-,,-,,-
"(15,784)",,"(5,048)",,-
"(587,486)","(283,498)","(105,722)","(547,221)","(665,347)"
