"2023
KShs’000",Column,"2023
KShs’000"
,"411,074
-
6,700
57,469
19,129
11,691",
"105,809",,"105,809"
"142,050",,"142,050"
"3,840",,-
"50,110",,-
"10,574",,-
-,,-
"312,383","506,063","247,859"
,"70,559
451,145",
"14,495",,"14,495"
"483,850",,"483,739"
"498,345","521,704","498,234"
"810,728","1,027,767","746,093"
"626,691","912,888","576,486"
"184,037","114,879","169,607"
,"517,821
787,404
67,850
(67,850)
(280,147)
2,689",
"1,027,767",,"884,262"
"291,969",,"239,404"
"88,135",,"78,525"
"(88,135)",,"(78,525)"
"(541,957)",,"(377,573)"
"32,949",,-
"810,728","1,027,767","746,093"
