"31–60
days
KShs’000",Column,"91-120
days
KShs’000",Column,">365
days
KShs’000"
,"-
(10,565)
(10,604)
(99,071)
(69,181)
-
-
-",,"-
(18,144)
(10,604)
-
(111,191)
-
-
(12,865)",
-,,-,,-
"(20,025)",,"(9,208)",,"(254,904)"
"(31,160)",,"(17,258)",,"(295,670)"
"(282,784)",,-,,-
"(278,999)",,"(68,944)",,-
-,,-,,-
-,,-,,-
"(12,834)",,"(5,765)",,-
"(625,802)","(189,421)","(101,175)","(152,804)","(550,574)"
