"2020
KShs’000",Column,"2020
KShs’000"
"(7,496)",,"20,220"
"8,567",,-
"246,769",,"244,320"
"(352,214)",,"(339,671)"
-,,-
"(104,374)","9,470
9,470
-","(75,131)"
-,,-
"(104,374)",,"(75,131)"
"(104,374)","9,470","(75,131)"
,"353,210
35,553",
"246,769",,"244,320"
"16,612",,"16,612"
"263,381","388,763","260,932"
,"1,055,440",
"862,886",,"680,169"
,"316,632
72,131
-
-
-
-",
"215,721",,"170,042"
"69,535",,"88,119"
"4,052",,"2,771"
"2,449",,-
"(1,886)",,-
"(26,490)",,-
"263,381","388,763","260,932"
