"2021
KShs’000",Column,"2021
KShs’000"
"427,191",,"864,649"
"103,642",,"198,849"
"(11,278)",,"(15,958)"
"519,555","427,191","1,047,540"
,"131,631
(3,126)",
"103,642",,"198,849"
"(11,278)",,"(15,958)"
"92,364","128,505","182,891"
,"109,686
6,046
415,595",
"61,673",,"171,396"
"47,167",,"71,098"
"410,946",,"845,985"
"519,786","531,327
(427,191)","1,088,479"
"(519,555)",,"(1,047,540)"
231,"104,136","40,939"
