"2,845,202
466,659","2,506,391
294,510"
"3,311,861","2,800,901"
"(1,383,716)
(1,289,933)
(260,704)","(1,306,691)
(779,221)
(208,774)"
"(2,934,353)","(2,294,686)"
"377,508
(209,748)","506,215
(173,182)"
"167,760","333,033"
-,-
-,-
"-
-","-
-"
-,-
"167,760","333,033"
2.36,4.68
