"2023
KShs’000",Column,"2023
KShs’000"
,"1,770
165
80
319
(327)
131
4,189
437
1,369
-
101
1,379
561
4,563
(77,102)
(3,872)
459
-",
170,,170
-,,-
"5,407",,-
332,,328
"(1,010)",,-
305,,288
"3,687",,"3,687"
247,,134
"1,841",,"1,781"
273,,-
132,,38
"1,448",,"1,448"
598,,-
"5,637",,"5,625"
"(12,913)",,"(30,779)"
"(7,020)",,"(2,122)"
"3,863",,"3,863"
-,,"6,600"
"2,997","(65,778)","(8,939)"
