"327,196","264,345","246,694"
"832,595
112,599
716,041","758,998
50,273
450,184","671,713
54,398
466,101"
"1,661,235
(327,196)","1,259,455
(264,345)","1,192,212
(246,694)"
"1,334,039","995,110","945,518"
