"2,625,835","3,050,439"
"1,432,278
951,350
110,895
-
349,837","1,668,841
923,058
116,928
21,718
279,355"
"2,844,360","3,009,900"
"5,470,195","6,060,339"
"355,905
1,581,190","355,905
1,791,004"
"1,937,095","2,146,909"
"83,002
330,338","-
302,512"
"413,340","302,512"
"41,148
53,550
467,552
1,033,212
1,446,037
15,680
20,220
42,361","-
31,872
598,168
1,105,756
1,572,934
7,915
-
294,273"
"3,119,760","3,610,918"
"5,470,195","6,060,339"
