RESOLUTION,FOR,AGAINST,ABSTAIN
"1 To consider and, if approved, adopt the audited financial statements for the year end-
ed 31st December 2019 together with the Directors’ and Auditors’ Reports thereon.",,,
"2 To receive, consider and if thought fit approve the Directors’ Remuneration Report and
the remuneration paid to the Directors’ for the year ended 31st December 2019.",,,
"3 To elect Directors:
3.1 Mr Francis Maina retires by rotation in accordance with Article 101 of the Com-
pany’s Articles of Association and being eligible, offers himself for re-election.
3.2 In accordance with the provisions of section 769 of the Companies Act 2015,
the following Directors, being members of the Board Audit and Risk Committee
be elected individually to continue serving as members of the Committee:
1. Mr Stephen Oundo",,,
2. Mr Francis Maina.,,,
"4 To re-appoint Messrs Ernst & Young LLP as the auditors of the Company for the
Financial Year ending 31st December 2020 in accordance with Section 719 (2) of
the Companies Act, 2015 and to authorise the Directors to fix their remuneration for
2020.",,,
"SPECIAL BUSINESS
5 Amendment of the Articles of Association
5.1 To consider and, if thought fit, pass the following special resolution amending
the Articles of Association of the Company by introducing a new Article 55A
immediately after Article 55. “55A. The pre-emption rights under Article 55 shall
not apply where the shareholders have by way of a special resolution authorised
the Directors to allot and issue shares in the Company in a different manner.”",,,
