Share,Column,Revaluation,Column,Total
capital,,reserve,,equity
(Note 11),,(Note 12),,
KShs’000,,KShs’000,,KShs’000
,"392,097",,"2,518,055",
"711,810",,"53,214",,"3,675,176"
-,"-
-",-,"113,893
-","113,893"
-,,-,,-
,"-
-
-",,"113,893
19,387
(569,448)",
-,,-,,"113,893"
-,,"(19,387)",,-
-,,-,,"(569,448)"
"711,810","392,097","33,827","2,081,887","3,219,621"
,"392,097",,"2,081,887",
"711,810",,"33,827",,"3,219,621"
-,"-
-",-,"457,764
-","457,764"
-,,-,,-
,"-
-",,"457,764
761",
-,,-,,"457,764"
-,,(761),,-
"711,810","392,097","33,066","2,540,412","3,677,385"
