"2,798,576
386,808","2,946,113
260,293"
"3,185,384","3,206,406"
"(1,606,545)
(971,508)
(209,202)
-","(1,695,616)
(906,472)
(209,726)
(122,549)"
"(2,787,255)","(2,934,363)"
"398,129
(174,835)","272,043
(140,247)"
"223,294","131,796"
"6,371","50,810"
"6,371","50,810"
"-
-","72,600
(21,780)"
"-
6,371","50,820
101,630"
"229,665","233,426"
"229,665
-
229,665","233,426
-
233,426"
