TYPE,RISK,MITIGATION
Strategic:,,
,"Regulatory environment
The Group is expected to
comply with all regulatory
bodies and governments.","• The Group ensures that its products meet
regulatory requirements.
• The Group engages regulatory authorities to
ensure compliance.
• The Group actively participates with other
stakeholders in building relationships with
the regulatory authorities."
,"Competition
The paint industry has
become ever more
competitive both in terms
of the products and
players.","• The Group through its research and
development team is continuously
developing its products to meet the market
demands.
• The Group continuously monitors the
market for the entry of new players and the
threat that they offer."
,"Economic/ Political
The political environment
in the countries
we operate greatly
influence the economic
performance.","• The Group monitors the environment
and takes measures to mitigate the risks
identified."
