"2022
KShs’000",Column,"2022
KShs’000"
,"222,566
34,449
881",
"257,896",,"236,987"
"14,186",,"13,623"
919,,-
"273,001","257,896","250,610"
,"162,725
20,799
805",
"184,329",,"167,540"
"25,500",,"23,734"
811,,-
"210,640","184,329","191,274"
"62,361","73,567","59,336"
