"Balance at
1 January
KShs’000",Column,"Other
comprehensive
income
KShs’000"
"104,718",,-
"(4,773)",,-
-,,-
"31,800",,"11,680"
"(121,395)",,-
"(4,388)",,-
"(2,375)",,-
"(19,584)",,-
"(23,181)",,-
"(39,178)","35,554","11,680"
,"(7,294)
(4,773)
(1,496)
(5,429)
56,780
806
2,330
(1,131)
(23,181)",
"112,012",,-
-,,-
"1,496",,-
"37,229",,-
"(178,175)",,-
"(5,194)",,-
"(4,705)",,-
"(18,453)",,-
-,,-
"(55,790)","16,612",-
