"31–60
days
KShs’000",Column,"91-120
days
KShs’000",Column,"Total
KShs’000"
-,,-,,-
"(33,244)",,"(41,674)",,"(368,068)"
"(253,882)",,-,,-
"(232,754)",,"(15,648)",,-
-,,-,,-
-,,-,,-
"(14,183)",,"(4,316)",,"(153,125)"
"(15,784)",,"(5,048)",,-
"(555,729)","(262,258)","(66,686)","(338,680)","(521,193"
