"1,886,183","1,581,869"
"1,853,155
1,224,017
87,677
442,793
27,716","2,140,212
1,249,593
95,943
364,136
43,940"
"3,635,358","3,893,824"
"5,521,541","5,475,693"
"355,905
951,405","355,905
670,955"
"1,307,310","1,026,860"
"137,251
438,782","-
604,760"
"576,033","604,760"
"96,551
53,550
623,000
1,033,212
16,498
1,779,487
15,680
20,220","-
31,872
606,534
1,105,756
243,228
1,848,572
7,915
196"
"3,638,198","3,844,073"
"5,521,541","5,475,693"
