31–60,Column,91-120,Column,Total
days,,days,,
KShs’000,,KShs’000,,KShs’000
47%,,53%,,
"36,992",,"49,310",,"507,179"
"(17,386)",,"(26,134)",,"(301,116)"
"19,606","19,789","23,176","124,555","206,063"
