"326,289","325,319","302,439"
"136,051
268,935","209,717
365,644","136,051
268,935"
"404,986","575,361","404,986"
"731,275","900,680","707,425"
"435,168","598,168","428,457"
"296,107","302,512","278,968"
"714,592
1,512,169
4,799
(1,498,078)
(2,207)","707,425
2,384,945
-
(2,191,690)
-","714,592
1,487,107
3,487
(1,495,554)
(2,207)"
"731,275","900,680","707,425"
