"2023
KShs’000",Column,"2023
KShs’000"
,"(24,932)
275,668
(347,469)
(1,291)",
"(98,024)",,"(74,668)"
"96,807",,"89,505"
"(136,679)",,"(123,802)"
"(1,524)",,-
"(139,420)","(98,024)","(108,965)"
,"-
(98,024)",
-,,-
"(139,420)",,"(108,965)"
"(139,420)","(98,024)","(108,965)"
