"2015
KShs’000
6,737,108
(3,956,493)","2014
KShs’000
6,039,061
(3,665,796)"
"2,780,615
233,954","2,373,265
144,397"
"3,014,569","2,517,662"
"(1,684,167)
(958,172)
(155,533)","(1,260,087)
(1,018,206)
(87,888)"
"(2,797,872)","(2,366,181)"
"216,697
(185,949)","151,481
(131,766)"
"30,748","19,715"
"3,494","3,257"
"3,494","3,257"
"-
-
34,242","-
-
22,972"
"34,242
-","22,972
-"
"34,242","22,972"
0.43,0.28
