"2022
KShs’000",Column,"2022
KShs’000"
,"232,250
9,227
60,072
28,188
-",
"411,074",,"411,074"
"6,700",,-
"57,469",,-
"19,129",,-
"11,691",,-
"506,063","329,737","411,074"
,"53,968
134,116",
"70,559",,"70,559"
"451,145",,"402,629"
"521,704","188,084","473,188"
"1,027,767","517,821","884,262"
"912,888","302,209","807,885"
"114,879","215,612","76,377"
,"807,322
1,192,951
85,425
(85,425)
(1,481,331)
(1,121)",
"517,821",,"396,770"
"787,404",,"627,020"
"67,850",,"65,571"
"(67,850)",,"(65,571)"
"(280,147)",,"(139,528)"
"2,689",,-
"1,027,767","517,821","884,262"
