"31–60
days
KShs’000",Column,"91-120
days
KShs’000",Column,"Total
KShs’000"
12%,,47%,,
"221,507",,"27,297",,"1,490,854"
"(25,407)",,"(12,703)",,"(325,156)"
"196,100","21,974","14,594",-,"1,165,698"
,"62%
26,775
(16,601)",,"100%
991,449
(991,449)",
55%,,75%,,
"7,483",,"29,318",,"1,088,479"
"(4,116)",,"(21,998)",,"(1,047,540)"
"3,367","10,174","7,320",-,"40,939"
