"Paints
KShs ‘000
410,579","Adhesives
KShs ‘000
13","Elimination
KShs ‘000
-","Total
KShs ‘000
410,592"
"151,911","4,196",-,"156,107"
"6,616,414
538,109
229,974","120,694
581
3,980","-
(538,690)
-","6,737,108
-
233,954"
"218,512","(1,816)",-,"216,697"
"(185,949)",-,-,"(185,949)"
"32,563","(1,816)",-,"30,748"
"Paints
KShs ‘000
4,584,737
204,028
48,512","Adhesives
KShs ‘000
71,558
-
-","Elimination
KShs ‘000
(803,481)
(204,028)
(48,512)","Total
KShs ‘000
3,852,814
-
-"
"4,837,277","71,558","(1,056,021)","3,852,814"
"3,303,349","5,615","(803,481)","2,505,483"
"Paints
KShs ‘000
339,829","Adhesives
KShs ‘000
-","Elimination
KShs ‘000
-","Total
KShs ‘000
339,829"
"126,532","4,581",-,"131,113"
"5,954,404
356,974
141,045","84,657
7,489
3,352","(364,463)
-","6,039,061
-
144,397"
"148,250","3,231",-,"151,481"
"(131,766)",-,-,"(131,766)"
"16,484","3,231",-,"19,715"
