"Country of
incorporation",Column,"Holding
%",Column,"2022
KShs’000"
Kenya,"Manufacture of
adhesives
Selling of auto
paints and
decorative
products
Selling of auto
paints and
decorative
products
Selling of auto
paints and
decorative
products",100,"97,000
745,209
773,162
173,914","97,000"
Uganda,,100,,"745,209"
Tanzania,,100,,"773,162"
Rwanda,,100,,"173,914"
,,,"1,789,285
(872,393)","1,789,285"
,,,,"(850,393)"
,,,"916,892","938,892"
