-,Column,-
"4,141",,"4,141"
"6,710",,637
"205,704",,"196,006"
"18,087",,"18,087"
"48,361",,"44,743"
"101,215",,"25,285"
-,,-
"1,425",,"1,425"
"72,784",,-
"458,427","411,603","290,324"
