"631,715","635,933","367,823"
"111,927
318,140","209,717
365,644","111,927
318,140"
"430,067","575,361","430,067"
"1,061,782","1,211,294","797,890"
"623,000","606,534","467,552"
"438,782","604,760","330,338"
"1,211,294
1,395,116
(1,545,171)
543","731,275
2,680,305
(2,199,423)
(863)","900,680
1,388,615
(1,491,405)
-"
"1,061,782","1,211,294","797,890"
