Risk,Column,Mitigation
Strategic (continued),Supply Chain and Logistics,"• The group enters into agreements with
key suppliers on supply priorities.
• The group maintains credit worthiness and
observes payment terms."
,"With the disruption of business supply
chain, there is a need to ensure that
the business remains operational, and
products get to the customers.",
Operational,,
,Technological,"• The group ensures that its operating
systems are updated and protected from
external threats."
,"Changes in technology are
continuous threat to the operations.",
