ANALYSIS BY DOMICILE,SHARES,%,HOLDERS
,"26,339,137",37.00%,
,"298,080",0.42%,
,"35,968,142",50.53%,
,"8,575,641",12.05%,
,"71,181,000",100.00%,
ANALYSIS BY VOLUME,,,
VOLUME,SHARES,%,HOLDERS
,"175,176",0.25%,
,"2,227,698",3.13%,
,"1,000,733",1.41%,
,"3,804,639",5.35%,
,"3,848,652",5.41%,
,"60,124,102",84.47%,
,"71,181,000",100.00%,
