"2023
KShs’000",Column,"2023
KShs’000"
,"257,896
14,186
919",
"273,001",,"250,610"
"3,428",,"2,804"
"4,340",,-
"280,769","273,001","253,414"
,"184,329
25,500
811",
"210,640",,"191,274"
"22,710",,"21,444"
"4,060",,-
"237,410","210,640","212,718"
"43,359","62,361","40,696"
