"2015
KShs’000
6,385,224
(3,836,429)","2014
KShs’000
5,804,909
(3,577,832)"
"2,548,795
213,279","2,227,077
128,960"
"2,762,074","2,356,037"
"(1,357,339)
(792,614)
(155,533)","(1,075,991)
(841,105)
(87,578)"
"(2,305,486)","(2,004,674)"
"456,588
(185,109)","351,363
(131,766)"
"271,479","219,597"
"-
-","-
-"
"-
-","-
-"
"271,479","219,597"
3.81,3.09
