"3,417,976
300,732","3,031,286
443,902"
"3,718,708","3,475,188"
"(74,368)
145,494
(1,840,929)
(1,115,577)
(305,354)","(9,718)
29,071
(1,764,045)
(1,059,497)
(275,064)"
"(3,190,734)","(3,079,253)"
"527,974
(210,738)","395,935
(212,122)"
"317,236","183,813"
136,"(9,293)"
136,"(9,293)"
-,-
-,-
136,"(9,293)"
"317,372","174,520"
"317,372
-","174,520
-"
"317,372","174,520"
4.46,2.58
