Activity,Column,"2024
KShs’000"
"Manufacture
of adhesives","100
100
100
100","97,000"
"Selling of auto
paints and
decorative
products",,"745,209"
"Selling of auto
paints and
decorative
products",,"773,162"
"Selling of auto
paints and
decorative
products",,"173,914"
,,"1,789,285"
,,"(1,022,692)"
,,"766,593"
