"3,050,439","2,036,317"
"1,668,841
923,058
116,928
21,718
279,355","1,492,184
1,221,640
1,468,757
104,978
127,346"
"3,009,900","4,414,905"
"6,060,339","6,451,222"
"355,905
1,791,004","355,905
2,318,396"
"2,146,909","2,674,301"
"302,512","278,968"
"302,512","278,968"
"31,872
598,168
1,105,756
1,572,934
7,915
294,273","328,759
428,457
757,379
1,826,336
-
157,022"
"3,610,918","3,497,953"
"6,060,339","6,451,222"
