Column,Column,"2020
KShs’000"
,,"653,081"
,,"116,927"
,,"770,008"
,"Recoverable
amount
KShs’000
425,000
495,000
163,978",
"Carrying
amount
KShs’000",,"Impairment loss
KShs’000"
"367,662",,-
"385,637",,-
"168,978",,"5,000"
"922,277","1,083,978","5,000"
,"Recoverable
amount
KShs’000
367,662
385,637
168,978",
"Carrying
amount
KShs’000",,"Impairment loss
KShs’000"
"467,044",,"99,382"
"398,246",,"12,609"
"173,914",,"4,936"
"1,039,204","922,277","116,927"
,"Crown Paints
Tanzania Limited
16.02%
20%
5%",
"Regal Pants
Uganda Limited",,"Crown Paints
Rwanda Limited"
14.95%,,14.09%
20%,,20%
8%,,5%
