"2020
KShs’000",Column,"2020
KShs’000"
"342,067",,"342,067"
-,,-
"75,326",,-
"34,725",,-
305,,-
"2,622",,-
"455,045","232,250","342,067"
,"53,968
110,552",
"141,247",,"141,247"
"211,030",,"211,030"
"352,277","164,520","352,277"
"807,322","396,770","694,344"
,"246,724",
"430,234",,"411,113"
"377,088","150,046","283,231"
,"694,344
1,125,075
76,035
(76,035)
(1,422,918)
269",
"1,061,782",,"797,890"
"1,078,706",,"1,078,706"
"107,893",,"84,707"
"(99,825)",,"(84,707)"
"(1,371,587)",,"(1,206,182)"
"30,353",,"23,930"
"807,322","396,770","694,344"
