"Unaudited
30 June
2022
KShs”Million”",Column,Column
"2,124",,
"6,149",,
"8,273",,
712,,
"3,002",,
"3,714",,
256,,
"4,303",,
"4,559",,
"8,273",,
"Unaudited
30 June
2022
KShs”Million”",,"Unaudited
30 June
2021
KShs”Million”"
"6,016",,"4,914"
426,,503
(138),,(163)
288,731,340
,"13
109",
(4),,-
-,,118
284,853,458
2.02,,2.70
142,,126
142,,71
"Unaudited
30 June
2022
KShs”Million”",,
(240),,
(283),,
4,,
(76),,
(595),,
(146),,
301,,
(440),,
661,,
(5),,
216,,
