"2023
KShs’000",Column,"2023
KShs’000"
,"603,065
311,954
-
(89,077)
12,764",
"838,706",,"522,402"
"105,832",,"14,338"
"53,258",,"53,258"
"(57,775)",,"(57,775)"
"52,383",,-
"992,404","838,706","532,223"
,"329,314
182,582
(83,669)
11,428",
"439,655",,"190,605"
"160,191",,"95,510"
"(29,074)",,"(29,074)"
"51,614",,-
"622,386","439,655","257,041"
"370,018","399,051","275,182"
"160,191","182,582","95,510"
"44,068","38,684","34,023"
