"1,581,869","1,326,240"
"2,140,212
1,249,593
95,943
364,136
43,940","1,884,274
1,764,680
559,607
214,222
122,584"
"3,893,824","4,545,367"
"5,475,693","5,871,607"
"355,905
670,955","355,905
1,401,711"
"1,026,860","1,757,616"
"604,760","296,107"
"604,760","296,107"
"31,872
606,534
1,105,756
243,228
1,848,572
7,915
196","328,898
435,168
757,379
147,787
2,148,356
-
296"
"3,844,073","3,817,884"
