"Share
capital
(Note 11)",Column,"Revaluation
reserve
(Note 12)",Column,"Retained
earnings
(Note 12)",Column
KShs’000,,KShs’000,,KShs’000,
,"392,097",,"106,701",,
"711,810",,"77,707",,"2,401,032",
-,"-
-",-,"-
48,041","(29,130)","(29,130)
48,041"
-,,-,,-,
,"-
-
-",,"48,041
-
-",,
-,,-,,"(29,130)",
-,,"(32,277)",,"32,277",
-,,-,,"(569,448)",
"711,810","392,097","45,430","154,742","1,834,731",
,"392,097",,"154,742",,
"711,810",,"45,430",,"1,834,731",
-,"-
-",-,"-
(53,608)","543,688","543,688
(53,608)"
-,,-,,-,
,"-
-
-",,"(53,608)
-
-",,
-,,-,,"543,688",
-,,"(2,948)",,"2,948",
-,,"(11,325)",,"11,325",
"711,810","392,097","31,157","101,134","2,392,692",
