"Country of
incorporation",Column,"Holding
%",Column,"2021
KShs’000"
,"Manufacture
of adhesives
Selling of
auto paints
& decorative
products
Selling of
auto paints
& decorative
products
Selling of
auto paints
& decorative
products",,"97,000
745,209
773,162
173,914",
Kenya,,100,,"97,000"
Uganda,,100,,"745,209"
Tanzania,,100,,"773,162"
Rwanda,,100,,"173,914"
,,,"1,789,285
(850,393","1,789,285"
,,,,"(775,008)"
,,,"938,892","1,014,277"
