Column,"KShs’000
1,214,145
36,635
7,964
18,540"
"1,326,240","1,277,284"
"1,884,274
1,764,680
559,607
214,222
122,584","1,503,554
1,468,849
475,673
205,632
128,037"
"4,545,367","3,781,745"
"5,871,607","5,059,029"
"355,905
1,401,711","355,905
1,206,211"
"1,757,616","1,562,116"
"296,107","246,703"
"296,107","246,703"
"328,898
435,168
757,379
147,787
2,148,356
296","134,374
467,889
507,403
299,095
1,840,289
1,160"
"3,817,884","3,250,210"
"5,871,607","5,059,029"
