"Adhesives
KShs ‘000",Column,"Total
KShs ‘000"
,"(107,341)
(938,892)",
"116,599",,"9,204,834"
-,,-
"116,599","(1,046,233)","9,204,834"
"77,104","(817,407)","5,515,487"
,"Elimination
KShs ‘000",
"Adhesives
KShs ‘000",,"Total
KShs ‘000"
,-,
335,,"274,514"
,-,
623,,"439,806"
,"-
(670,519)
-
-",
"395,750",,"11,388,808"
"138,559",,-
-,,"7,757"
985,,"403,846"
,-,
"1,615",,"216,110"
,-,
-,,"(75,385)"
,"-
-",
"(7,472)",,"1,072,870"
5,,"(248,855)"
"(7,467)",-,"824,015"
