"386,363
(298,686)","540,123
(444,180)","821,272
(710,377)"
"87,677","95,943","110,895"
"-
1,018
15,480
-
-","-
223,137
20,091
-
-","2,852
1,018
15,480
-
23,011"
"16,498","243,228","42,361"
"-
-
-
-","-
-
-
-","4,261
74,499
163,255
96,008"
"-
-
149
-","-
-
587
6,400","36,743
26,037
11,894
3,242"
"98,970
101,336","5,700
102,248","98,970
101,336"
