"2016
KShs’000
1,117,386
29,758
7,964
881,095
-
18,540","2015
KShs’000
1,083,162
36,846
8,229
48,512
204,028
13,933"
"2,054,743","1,394,710"
"1,271,827
1,034,067
1,084,373
112,868
157,642","1,359,048
883,293
1,428,411
-
78,947"
"3,660,777","3,749,699"
"5,715,520","5,144,409"
"355,905
2,019,528","355,905
1,724,312"
"2,375,433","2,080,217"
"246,703","209,903"
"246,703","209,903"
"134,374
467,889
507,403
1,679,407
304,311
-","160,838
305,755
650,989
1,415,624
261,332
59,751"
"3,093,384","2,854,289"
"5,715,520","5,144,409"
