"2015
KShs’000
456,588
116,824
12,319
265
23,266
(21,774)
155,533
(2,181)
750","2014
KShs’000
351,363
98,814
10,784
265
8,873
-
87,578
(2,429)
( 1,540)"
"741,590
58,134
(248,477)
351,954
(447,864)
75,406","553,708
(33,698)
(322,737)
217,551
(565,363)
87,927"
"530,743
(137,521)
2,181
(168,352)","(62,612)
(181,420)
2,429
(87,578)"
"227,051","(329,181)"
"(344,060)
(9,573)
23
-","(261,958)
(17,936)
3,256
(1,293)"
"(353,610)","(277,931)"
"251,554
40,736
(41,522)","74,929
351,335
(41,522)"
"250,768","384,742"
"124,209
(204,608)
(1,492)","(222,370)
26,635
(8,873)"
"(81,891)","(204,608)"
