"Adhesives
KShs’000",Column,"Total
KShs’000"
"74,204",,"7,807,348"
-,,-
"74,204","(1,090,105)","1,172,049"
"27,238","(603,813)","4,377,159"
,"Elimination
KShs’000
-",
"Adhesives
KShs’000",,"Total
KShs’000"
350,,"337,007"
,-,
585,,"376,137"
,"-
(505,809)
-
-",
"344,923",,"10,733,180"
"107,965",,-
-,,"8,433"
555,,"367,457"
,-,
366,,"183,285"
,-,
-,,"(5,000)"
,"(4,681)
-",
"1,080",,"1,124,400"
(785),,"(393,170)"
295,"(4,681)","731,230"
