"Share
capital
KShs’000
118,635","Share
premium
KShs’000
80,174","Revaluation
KShs’000
115,583","Foreign
currency
translation
reserve
KShs’000
6,574","Retained
KShs’000
1,040,748","Total
KShs’000
1,361,714"
"-
-","-
-","-
-","3,257","19,715
-","19,715
3,257"
-,-,-,"3,257","19,715","22,972"
"-
-
-","-
-
-","(13,890)
-
-","-
-
-","13,890
4,167
(41,522)","-
4,167
(41,522)"
"118,635","80,174","101,693","9,831","1,036,998","1,347,331"
"118,635","80,174","101,693","9,831","1,036,998","1,347,331"
"-
-","-
-","-
-","3,494","30,748
-","30,748
3,494"
-,-,-,"3,494","30,748","34,242"
"237,270
-
-
-","-
-
-
-","-
(13,890)
-
-","-
-
-
-","(237,270)
13,890
12,731
(41,522)","-
-
12,731
(41,522)"
"355,905","80,174","87,803","13,325","815,575","1,352,782"
