"66,491","10,870","2,239"
"(17,799)
(959,339)
(136,051)","(31,872)
(789,426)
(575,361)","(17,799)
(817,021)
(136,051)"
"(1,113,189)","(1,396,659)","(970,871)"
"(1,046,698)","(1,385,789)","(968,632)"
