"32,537","(1,819,507)","5,871,607"
"7,245","(938,412)","4,113,991"
"Adhesives
KShs ‘000
394","Elimination
KShs ‘000
-","Total
KShs ‘000
205,843"
181,-,"134,045"
"160,095
38,807
-
3,792","-
(575,616)
-
-","7,351,326
-
1,103
385,705"
-,-,"209,202"
823,-,"398,129"
-,-,"(174,835)"
823,-,"223,294"
