"2,506,391
294,510","2,634,210
173,463"
"2,800,901","2,807,673"
"(1,306,691)
(779,221)
(208,774)
-","(1,348,045)
(720,093)
(209,726)
(122,549)"
"(2,294,686)","(2,400,413)"
"506,215
(173,182)","407,260
(138,772)"
"333,033","268,488"
"-
-","-
-"
"-
-
-","-
72,600
(21,780)"
-,"50,820"
"333,033","319,308"
4.68,3.77
