"Country of
incorporation",Column,"Holding
%",Column,"2020
KShs’000"
Kenya,"Manufacture of
adhesives
Selling of auto
paints and
decorative
products
Selling of auto
paints and
decorative
products
Selling of auto
paints and
decorative
products",100,"97,000
745,209
773,162
173,914","97,000"
Uganda,,100,,"745,209"
Tanzania,,100,,"773,162"
Rwanda,,100,,"173,914"
,,,"1,789,285
(775,008)","1,789,285"
,,,,"(770,008)"
,,,"1,014,277","1,019,277"
