"Balance at
1 January
KShs’000",Column,"Utilised tax
loss during
the year
KShs’000",Column,"Balance at
31 December
KShs’000"
"126,785",,-,,"106,158"
"(5,138)",,-,,"(6,607)"
"8,466",,-,,"2,382"
"31,801",,-,,"80,856"
"(191,725)",,-,,"(151,453)"
"(4,492)",,-,,"(6,916)"
"(2,375)",,-,,"(5,223)"
"(22,198)",,-,,"(27,202)"
"(23,181)",,-,,"(23,644)"
(154),,-,,"(1,263)"
(749),,-,,-
"(323,721)",,"21,273",,"(307,200)"
,"9,087
26,467",,"36,211
(24,531)",
"(406,681)",,"21,273",,"(340,112)"
"367,503",,"(21,273)",,"348,168"
"(39,178)","35,554",-,"11,680","8,056"
,"(16,895)
629
2,452
(5,429)
80,190
723
2,330
(2,608)
(23,181)
(85)
(687)
5,663",,"-
-
-
-
-
-
-
-
-
-
-
-",
"143,680",,-,,"126,785"
"(5,767)",,-,,"(5,138)"
"6,014",,-,,"8,466"
"37,230",,-,,"31,801"
"(271,915)",,-,,"(191,725)"
"(5,215)",,-,,"(4,492)"
"(4,705)",,-,,"(2,375)"
"(19,590)",,-,,"(22,198)"
-,,-,,"(23,181)"
(69),,-,,(154)
(62),,-,,(749)
"(333,816)",,"4,432",,"(323,721)"
,"43,102
(26,490)",,"-
-",
"(454,215)",,"4,432",,"(406,681)"
"398,425",,"(4,432)",,"367,503"
"(55,790)","16,612",-,-,"(39,178)"
